city,state,year,crime_type,reported_cases,solved_cases,unsolved_cases,Monetary Loss (INR),Victim Age,Victim Gender,Victim Profession,population,literacy_rate,internet_penetration,unemployment_rate
Asansol,West Bengal,2024,Online Harassment,430,1,429,1450052.97,34,Other,Unemployed,5036034,75.63,59.06,5.32
Siliguri,West Bengal,2024,Ransomware,243,238,5,1642797.88,27,Other,Teacher,19236345,73.4,81.36,6.11
Ahmedabad,Gujarat,2023,Hacking,371,195,176,1961089.82,57,Other,Doctor,16670471,93.77,37.57,11.65
Surat,Gujarat,2023,Financial Fraud,457,432,25,2229515.74,48,Female,Student,4887053,74.35,69.29,3.54
Vadodara,Gujarat,2023,Online Harassment,183,159,24,3478887.76,56,Male,Government Employee,17955393,73.3,49.0,9.19
Rajkot,Gujarat,2023,Phishing,326,35,291,1212112.7,58,Female,Teacher,3082627,75.19,35.91,8.34
Bhavnagar,Gujarat,2022,Hacking,95,88,7,1532357.1,16,Male,Government Employee,1933048,70.27,52.49,3.46
Jaipur,Rajasthan,2024,Ransomware,299,92,207,891419.06,20,Other,Freelancer,8130906,77.42,64.99,4.32
Jodhpur,Rajasthan,2024,Online Harassment,245,65,180,3350861.55,66,Female,Business,18390790,65.53,56.5,5.46
Udaipur,Rajasthan,2024,Online Harassment,337,217,120,3467051.89,44,Female,Teacher,12958163,89.87,36.4,5.81
Kota,Rajasthan,2023,Online Harassment,368,151,217,158601.01,68,Other,Freelancer,9260033,60.28,81.9,9.78
Ajmer,Rajasthan,2022,Hacking,436,146,290,3889917.85,29,Other,Government Employee,7398572,82.28,67.25,8.78
Patna,Bihar,2024,Cyberstalking,331,49,282,4521848.34,56,Male,Business,14841571,61.17,51.89,3.31
Gaya,Bihar,2023,Identity Theft,392,212,180,919418.35,23,Other,Government Employee,17862449,77.56,46.35,3.65
Muzaffarpur,Bihar,2023,Online Harassment,392,173,219,4030951.07,44,Male,Doctor,7620372,90.1,73.45,11.8
Bhagalpur,Bihar,2024,Identity Theft,56,50,6,2003144.07,31,Other,Engineer,15310086,72.9,74.94,4.62
Purnia,Bihar,2023,Identity Theft,65,29,36,2383810.5,54,Other,Government Employee,7477850,82.67,68.12,6.64
Bhopal,Madhya Pradesh,2024,Online Harassment,342,209,133,627545.89,17,Male,Business,16579739,64.06,44.09,7.38
Indore,Madhya Pradesh,2023,Hacking,199,171,28,4749434.8,59,Other,Freelancer,19757871,85.98,39.27,6.15
Jabalpur,Madhya Pradesh,2022,Hacking,325,208,117,4698312.68,32,Male,Government Employee,7340360,75.52,87.03,10.55
Gwalior,Madhya Pradesh,2022,Identity Theft,288,183,105,349722.94,32,Male,Engineer,15307783,63.21,42.73,8.39
Ujjain,Madhya Pradesh,2022,Phishing,412,170,242,1255666.04,23,Other,Teacher,2352174,89.04,63.25,7.86
Mumbai,Maharashtra,2022,Identity Theft,406,75,331,3953786.58,53,Male,Business,4904922,94.56,62.41,9.99
Pune,Maharashtra,2022,Phishing,77,1,76,1823299.28,65,Male,Government Employee,579525,66.1,33.14,9.42
Nagpur,Maharashtra,2024,Financial Fraud,391,32,359,2407417.53,64,Female,Engineer,15216785,77.63,86.72,2.43
Nashik,Maharashtra,2024,Online Harassment,244,164,80,4821929.61,18,Female,Freelancer,14353369,84.01,59.42,11.1
Thane,Maharashtra,2022,Financial Fraud,174,155,19,784252.44,23,Female,Government Employee,12831030,94.81,61.83,6.54
New Delhi,Delhi,2024,Ransomware,60,50,10,3523808.12,69,Other,Teacher,14480752,75.8,43.71,5.39
Dwarka,Delhi,2023,Ransomware,222,186,36,520674.9,42,Female,Business,12609458,93.38,71.21,6.74
Rohini,Delhi,2022,Financial Fraud,57,27,30,527993.94,62,Female,Doctor,18718704,62.1,87.4,7.62
Saket,Delhi,2024,Financial Fraud,220,90,130,4374356.49,63,Female,Student,9701241,81.01,51.1,7.78
Karol Bagh,Delhi,2022,Cyberstalking,346,246,100,1160012.1,21,Female,Government Employee,3904911,86.69,64.45,10.07
Bengaluru,Karnataka,2024,Phishing,321,136,185,193318.25,32,Other,Business,11452623,72.29,40.88,3.43
Mysuru,Karnataka,2024,Ransomware,45,9,36,3717796.84,16,Male,Teacher,12672989,74.69,50.45,5.7
Mangaluru,Karnataka,2024,Identity Theft,407,290,117,3001307.67,18,Male,Doctor,1719752,83.59,46.33,8.62
Hubli,Karnataka,2023,Hacking,222,69,153,1117066.38,47,Male,Government Employee,14475507,63.88,70.69,7.93
Belgaum,Karnataka,2024,Online Harassment,33,14,19,2006553.81,53,Male,Student,6909301,70.55,42.67,3.37
Chennai,Tamil Nadu,2023,Online Harassment,177,30,147,88263.04,62,Female,Doctor,4384752,73.31,72.22,7.0
Coimbatore,Tamil Nadu,2024,Identity Theft,46,25,21,4315733.59,17,Female,Student,15476792,92.24,81.73,7.76
Madurai,Tamil Nadu,2024,Ransomware,373,327,46,2117585.1,22,Female,Student,10947411,66.02,86.86,6.6
Tiruchirappalli,Tamil Nadu,2024,Identity Theft,55,27,28,4230197.58,30,Female,Freelancer,17631265,62.75,82.23,9.46
Salem,Tamil Nadu,2022,Identity Theft,408,86,322,428077.92,55,Male,Teacher,11773088,72.29,87.49,8.45
Lucknow,Uttar Pradesh,2022,Data Breach,62,9,53,1317042.7,26,Other,Doctor,2578436,66.2,76.37,6.94
Kanpur,Uttar Pradesh,2024,Hacking,358,289,69,3232809.56,54,Female,Government Employee,5115289,75.39,58.14,8.31
Ghaziabad,Uttar Pradesh,2023,Phishing,190,129,61,417243.75,44,Female,Student,1958913,72.91,47.22,8.45
Varanasi,Uttar Pradesh,2022,Ransomware,246,148,98,2793866.04,65,Other,Student,15140558,91.82,64.3,3.88
Agra,Uttar Pradesh,2024,Hacking,266,77,189,4790725.68,43,Male,Government Employee,2879616,77.66,40.35,4.48
Kolkata,West Bengal,2023,Hacking,278,267,11,3068536.76,38,Female,Business,13049542,74.31,50.3,7.98
Howrah,West Bengal,2024,Identity Theft,43,21,22,517804.44,58,Female,Business,8505575,85.33,69.39,11.06
Durgapur,West Bengal,2022,Identity Theft,51,37,14,3334879.92,37,Female,Freelancer,4376899,80.83,86.28,5.1
Asansol,West Bengal,2023,Identity Theft,426,65,361,3367076.18,68,Other,Engineer,14257160,77.8,31.09,5.09
Siliguri,West Bengal,2022,Identity Theft,495,392,103,2457041.06,29,Male,Doctor,2639230,70.35,77.29,7.08
Ahmedabad,Gujarat,2024,Phishing,348,172,176,4388144.22,54,Male,Freelancer,5225863,65.68,79.88,9.71
Surat,Gujarat,2022,Hacking,32,26,6,1853282.1,61,Male,Unemployed,9610594,86.33,77.03,4.34
Vadodara,Gujarat,2022,Online Harassment,424,401,23,2371627.24,68,Male,Government Employee,19190098,94.46,57.7,4.82
Rajkot,Gujarat,2023,Ransomware,92,25,67,4016233.16,23,Female,Student,16175946,90.59,63.27,3.03
Bhavnagar,Gujarat,2024,Financial Fraud,155,21,134,3827428.31,32,Female,Doctor,14729143,63.21,84.63,10.17
Jaipur,Rajasthan,2023,Phishing,222,13,209,2012447.13,38,Male,Freelancer,2788224,73.12,31.69,11.31
Jodhpur,Rajasthan,2024,Identity Theft,415,74,341,731117.96,33,Female,Doctor,15790723,75.7,30.32,2.79
Udaipur,Rajasthan,2023,Data Breach,437,76,361,2766581.01,61,Other,Freelancer,3780811,87.17,44.26,3.22
Kota,Rajasthan,2022,Ransomware,337,318,19,2312712.4,22,Female,Student,17343139,80.13,73.11,4.91
Ajmer,Rajasthan,2022,Identity Theft,133,106,27,977203.86,57,Male,Government Employee,2320941,93.37,62.64,9.86
Patna,Bihar,2024,Phishing,209,120,89,265495.4,39,Female,Business,594998,72.5,34.05,4.41
Gaya,Bihar,2024,Financial Fraud,405,297,108,3689175.57,36,Male,Student,11871194,79.11,78.81,3.75
Muzaffarpur,Bihar,2024,Hacking,366,245,121,3177092.45,66,Male,Engineer,15407178,61.29,42.1,9.91
Bhagalpur,Bihar,2022,Identity Theft,487,158,329,2601148.77,67,Other,Unemployed,8549799,61.28,68.81,4.86
Purnia,Bihar,2022,Identity Theft,149,31,118,4006744.94,42,Female,Unemployed,13023645,71.87,41.21,8.92
Bhopal,Madhya Pradesh,2023,Online Harassment,420,42,378,3649052.56,20,Female,Doctor,18353083,70.28,36.16,5.28
Indore,Madhya Pradesh,2023,Online Harassment,238,154,84,3602431.41,25,Other,Unemployed,11845959,75.65,73.61,11.12
Jabalpur,Madhya Pradesh,2024,Ransomware,150,14,136,421453.77,55,Female,Government Employee,17266309,88.04,70.76,11.53
Gwalior,Madhya Pradesh,2022,Hacking,27,4,23,382805.15,64,Other,Government Employee,12201757,73.4,64.03,8.05
Ujjain,Madhya Pradesh,2024,Hacking,495,189,306,1891466.22,63,Male,Doctor,17815725,72.84,48.86,4.79
Mumbai,Maharashtra,2022,Phishing,386,95,291,2520267.6,39,Other,Engineer,8833767,87.12,72.24,4.15
Pune,Maharashtra,2024,Online Harassment,365,251,114,1040882.79,23,Male,Unemployed,5843386,91.45,56.71,2.88
Nagpur,Maharashtra,2024,Identity Theft,351,177,174,3562225.41,50,Other,Business,10114875,89.8,72.71,11.27
Nashik,Maharashtra,2024,Cyberstalking,416,185,231,2568340.94,22,Male,Doctor,7993548,87.66,31.58,7.54
Thane,Maharashtra,2023,Hacking,421,282,139,692367.59,20,Male,Business,13410031,94.99,73.13,7.26
New Delhi,Delhi,2023,Financial Fraud,74,40,34,3229576.02,43,Female,Government Employee,4356194,90.73,76.82,8.4
Dwarka,Delhi,2022,Cyberstalking,231,128,103,4558025.74,18,Male,Doctor,10254726,65.76,49.36,9.09
Rohini,Delhi,2023,Online Harassment,443,40,403,1290496.28,55,Other,Business,4250018,81.88,66.87,2.93
Saket,Delhi,2024,Cyberstalking,313,297,16,813261.62,57,Other,Government Employee,18961883,61.44,81.83,2.81
Karol Bagh,Delhi,2024,Online Harassment,343,107,236,3846447.05,41,Other,Student,16761384,91.11,62.73,8.42
Bengaluru,Karnataka,2023,Hacking,135,103,32,1522297.66,19,Other,Student,5354299,75.39,59.06,4.04
Mysuru,Karnataka,2024,Cyberstalking,170,81,89,3684288.79,70,Female,Freelancer,4437783,86.62,60.9,3.06
Mangaluru,Karnataka,2022,Hacking,72,34,38,2275500.26,24,Male,Student,9787898,93.09,81.85,6.18
Hubli,Karnataka,2022,Identity Theft,488,295,193,3619585.72,27,Male,Unemployed,17321299,76.34,82.74,6.97
Belgaum,Karnataka,2022,Ransomware,268,234,34,4835098.82,28,Other,Government Employee,1682696,61.77,59.69,10.82
Chennai,Tamil Nadu,2024,Hacking,156,137,19,90478.16,21,Female,Doctor,8924237,85.46,75.83,5.66
Coimbatore,Tamil Nadu,2023,Phishing,301,287,14,1013543.74,50,Female,Engineer,13013715,77.65,75.86,4.8
Madurai,Tamil Nadu,2024,Financial Fraud,75,12,63,1999823.38,65,Female,Government Employee,4890809,66.97,60.55,7.0
Tiruchirappalli,Tamil Nadu,2022,Phishing,80,42,38,4029630.98,48,Female,Doctor,17347502,64.89,85.88,5.19
Salem,Tamil Nadu,2023,Online Harassment,313,172,141,2561209.18,47,Other,Unemployed,18938603,70.49,78.94,5.68
Lucknow,Uttar Pradesh,2024,Financial Fraud,223,149,74,1573005.28,61,Other,Student,15974605,69.29,69.34,11.72
Kanpur,Uttar Pradesh,2024,Data Breach,379,26,353,2938440.22,25,Other,Freelancer,5008529,88.76,44.53,7.73
Ghaziabad,Uttar Pradesh,2024,Financial Fraud,107,2,105,2233140.9,41,Male,Freelancer,6891469,74.36,76.5,11.21
Varanasi,Uttar Pradesh,2024,Phishing,371,70,301,2617481.9,50,Female,Unemployed,17682087,73.19,87.4,6.6
Agra,Uttar Pradesh,2024,Identity Theft,289,181,108,3395549.45,70,Other,Business,16296388,66.73,44.79,7.58
Kolkata,West Bengal,2022,Online Harassment,404,147,257,3539259.64,59,Other,Unemployed,10688122,76.79,63.63,11.34
Howrah,West Bengal,2024,Online Harassment,157,31,126,2888710.18,49,Female,Freelancer,11630797,93.41,78.28,4.9
Durgapur,West Bengal,2023,Financial Fraud,187,113,74,3297061.65,62,Female,Teacher,6830277,88.98,46.27,7.62
Asansol,West Bengal,2023,Cyberstalking,65,30,35,1250167.29,57,Other,Teacher,7862698,61.84,54.8,9.17
Siliguri,West Bengal,2022,Cyberstalking,12,8,4,4890658.02,25,Female,Unemployed,16070513,82.77,75.35,4.87
Ahmedabad,Gujarat,2023,Phishing,474,393,81,492830.57,51,Male,Student,5924199,74.63,80.26,11.34
Surat,Gujarat,2022,Ransomware,413,253,160,972242.58,62,Female,Student,360954,70.44,66.17,11.28
Vadodara,Gujarat,2023,Online Harassment,242,164,78,2739337.39,46,Male,Unemployed,9204893,66.75,36.76,3.62
Rajkot,Gujarat,2023,Online Harassment,377,95,282,119716.77,36,Female,Teacher,5938632,81.38,68.32,6.05
Bhavnagar,Gujarat,2023,Identity Theft,54,25,29,3362816.47,26,Male,Unemployed,10908270,92.75,30.41,5.84
Jaipur,Rajasthan,2023,Online Harassment,498,168,330,1544631.91,61,Other,Student,8826267,82.88,71.57,2.62
Jodhpur,Rajasthan,2022,Hacking,167,40,127,2056812.23,47,Other,Business,3989818,82.35,86.44,5.68
Udaipur,Rajasthan,2022,Data Breach,500,68,432,2417000.4,44,Other,Government Employee,14003463,84.57,84.77,9.57
Kota,Rajasthan,2024,Data Breach,400,126,274,3417692.5,53,Male,Unemployed,17772549,84.63,34.69,7.64
Ajmer,Rajasthan,2022,Data Breach,303,274,29,791769.29,35,Other,Unemployed,3950367,83.81,73.02,6.89
Patna,Bihar,2024,Hacking,424,28,396,2294489.89,47,Female,Unemployed,18971719,62.02,57.74,10.07
Gaya,Bihar,2024,Phishing,212,65,147,4091443.47,62,Male,Engineer,1569673,74.83,72.02,7.41
Muzaffarpur,Bihar,2022,Financial Fraud,488,241,247,207087.61,41,Male,Doctor,14155006,73.11,83.48,6.49
Bhagalpur,Bihar,2023,Ransomware,51,43,8,4822514.66,70,Other,Doctor,11719221,64.15,89.57,5.93
Purnia,Bihar,2022,Data Breach,437,1,436,3793088.1,34,Female,Freelancer,17898730,73.27,43.78,6.61
Bhopal,Madhya Pradesh,2022,Online Harassment,106,92,14,3839175.15,17,Other,Freelancer,574985,68.42,34.04,7.94
Indore,Madhya Pradesh,2023,Phishing,135,11,124,2041213.49,29,Other,Teacher,1943947,64.9,89.61,4.34
Jabalpur,Madhya Pradesh,2024,Identity Theft,305,164,141,1222674.97,24,Other,Teacher,13926777,70.52,33.66,11.49
Gwalior,Madhya Pradesh,2024,Cyberstalking,330,218,112,2801460.8,18,Female,Freelancer,17648060,71.16,54.98,3.49
Ujjain,Madhya Pradesh,2023,Cyberstalking,396,275,121,2393918.16,69,Male,Business,4893640,88.2,84.88,7.62
Mumbai,Maharashtra,2023,Cyberstalking,208,62,146,1312228.45,36,Other,Engineer,15142341,89.65,35.55,9.25
Pune,Maharashtra,2022,Phishing,147,96,51,3384676.01,53,Male,Engineer,6363712,88.16,65.26,8.71
Nagpur,Maharashtra,2022,Hacking,116,111,5,4539812.5,34,Male,Teacher,6426137,93.67,37.04,12.0
Nashik,Maharashtra,2023,Data Breach,366,309,57,3533654.48,40,Male,Government Employee,9547890,73.32,62.02,5.59
Thane,Maharashtra,2023,Identity Theft,272,254,18,2356720.13,66,Other,Unemployed,10795245,92.0,52.24,6.14
New Delhi,Delhi,2024,Data Breach,389,74,315,130288.51,50,Other,Freelancer,9955009,65.33,49.79,5.8
Dwarka,Delhi,2022,Hacking,291,172,119,1323767.45,67,Female,Unemployed,15512855,65.89,77.7,3.69
Rohini,Delhi,2024,Hacking,104,69,35,4952101.53,18,Other,Student,2544114,93.08,70.09,9.64
Saket,Delhi,2023,Cyberstalking,441,322,119,1195595.29,60,Male,Student,7389014,77.7,52.39,8.18
Karol Bagh,Delhi,2024,Hacking,347,249,98,127872.25,49,Other,Freelancer,447652,60.59,73.33,7.36
Bengaluru,Karnataka,2023,Phishing,267,220,47,4040530.11,26,Male,Engineer,17645454,65.21,41.52,7.26
Mysuru,Karnataka,2023,Online Harassment,417,203,214,441145.26,40,Female,Teacher,7628511,70.5,79.68,2.81
Mangaluru,Karnataka,2024,Phishing,57,25,32,1927356.91,50,Female,Student,367095,84.6,34.96,10.45
Hubli,Karnataka,2024,Identity Theft,299,48,251,4479216.5,17,Male,Teacher,19068120,76.64,32.79,2.74
Belgaum,Karnataka,2023,Phishing,101,40,61,127507.57,28,Other,Doctor,13414596,92.51,47.96,7.64
Chennai,Tamil Nadu,2024,Ransomware,356,276,80,1692062.71,63,Other,Doctor,2681596,77.53,88.46,2.54
Coimbatore,Tamil Nadu,2023,Data Breach,439,38,401,1735934.1,64,Other,Freelancer,11001383,61.04,46.4,11.93
Madurai,Tamil Nadu,2023,Data Breach,192,141,51,4708657.08,42,Male,Freelancer,2925417,87.03,47.72,4.46
Tiruchirappalli,Tamil Nadu,2022,Financial Fraud,147,39,108,1930999.97,65,Other,Doctor,13123544,71.08,36.39,2.05
Salem,Tamil Nadu,2023,Hacking,194,194,0,1385343.89,23,Male,Doctor,14511272,75.71,63.28,6.08
Lucknow,Uttar Pradesh,2022,Financial Fraud,191,141,50,510668.09,53,Female,Freelancer,464082,70.21,53.27,2.85
Kanpur,Uttar Pradesh,2024,Data Breach,302,266,36,889435.47,39,Male,Doctor,9073423,70.54,59.59,2.63
Ghaziabad,Uttar Pradesh,2023,Online Harassment,225,76,149,2446945.0,19,Female,Business,8324189,85.23,59.75,8.17
Varanasi,Uttar Pradesh,2023,Financial Fraud,79,38,41,83498.48,40,Female,Freelancer,11107585,75.41,55.84,10.24
Agra,Uttar Pradesh,2024,Cyberstalking,163,82,81,3035895.78,59,Male,Unemployed,10592241,66.22,53.89,5.19
Kolkata,West Bengal,2024,Hacking,304,124,180,1663136.88,32,Female,Government Employee,3871441,92.62,41.99,11.97
Howrah,West Bengal,2022,Phishing,497,372,125,2335030.0,60,Male,Unemployed,9825453,89.09,34.15,10.48
Durgapur,West Bengal,2023,Hacking,81,81,0,1549021.58,31,Other,Doctor,14247818,87.62,34.44,11.91
Asansol,West Bengal,2023,Ransomware,283,259,24,4621303.98,70,Other,Freelancer,18291706,61.29,88.11,9.02
Siliguri,West Bengal,2024,Financial Fraud,65,31,34,3305128.14,37,Male,Student,18948536,94.43,70.65,6.0
